dR2_M,dR2_OxM,unit
4.8798904593860826e-06,4.3884550619655016e-05,per36min
0.0002204173370041751,0.00036637682166928975,per36min
3.068486245649815e-06,1.6728489575679184e-05,per36min
7.712674467541536e-05,4.065001785957811e-06,per36min
0.00010009300054247827,3.318094378812475e-06,per36min
1.1973873723203354e-05,0.00012117622220830793,per36min
9.039831701751488e-06,3.172779361815259e-05,per36min
8.50320550749295e-06,2.2829263861767757e-05,per36min
2.5961386818096344e-07,1.1412892524931273e-05,per36min
3.000177656786729e-05,0.00016783003031362043,per36min
6.756371674465633e-06,3.5491935960974e-05,per36min
4.984942534125292e-05,8.188261026331745e-06,per36min
1.8036749847016864e-06,0.0007046320687587038,per36min
2.0761062313745526e-08,6.047316915891443e-06,per36min
7.356582249118393e-05,0.00013870168252549941,per36min
2.5724294540729886e-05,2.608900034517525e-05,per36min
0.00016822769592395037,9.612488802646091e-05,per36min
1.7453838418890477e-05,1.5826611143854308e-05,per36min
5.919174285162754e-07,1.965699800077214e-05,per36min
4.094733843396092e-05,3.50497854517684e-07,per36min
3.065635050292226e-05,9.028534169996938e-05,per36min
4.961026960348391e-06,5.089219775600284e-06,per36min
5.0167336015483066e-05,1.355052085538766e-06,per36min
9.274796136504726e-05,1.1718435309893138e-06,per36min
1.8154051919738734e-05,5.4570807582754455e-06,per36min
7.156635065896921e-06,2.8347213141266536e-05,per36min
1.0739326391395743e-05,5.392508078805314e-05,per36min
2.2945797796936063e-05,4.3733215579266904e-05,per36min
7.9427465160542e-08,3.532096760627823e-05,per36min
0.00014319665508655266,5.009144961154455e-06,per36min
6.239107073424677e-06,3.581093165117011e-06,per36min
2.3122846296130817e-05,6.860169162514751e-06,per36min
4.5708610457051435e-05,0.00044371228036321764,per36min
3.1075136755598365e-05,3.292454051251337e-05,per36min
8.802285208275862e-06,5.857884827698001e-05,per36min
6.168882629487005e-05,0.00040175537907294334,per36min
0.00016665984085673102,0.0001382226674189191,per36min
1.914163005878322e-07,9.35162368541631e-05,per36min
9.418530958482663e-06,6.007264541918467e-06,per36min
0.00011966263351448347,0.00011853323888433298,per36min
3.603610890989817e-05,4.1323576605023504e-06,per36min
5.8549798226503746e-05,4.934724813254743e-05,per36min
5.6030588126976255e-06,0.0001501130747307844,per36min
2.2402720389891329e-07,8.452107902456873e-09,per36min
4.552428709669876e-05,6.962269729737791e-06,per36min
3.477166733434345e-07,8.763809251888244e-05,per36min
4.3241543875471855e-05,1.1731805631742809e-05,per36min
6.179663835537141e-06,2.7240901422365127e-06,per36min
0.00012712043767604264,5.870236032934351e-06,per36min
3.0549004880198183e-06,1.0017096019332428e-06,per36min
0.00014607792065168823,3.865572449879284e-05,per36min
6.168704568043637e-06,6.668310657642618e-05,per36min
2.3758217611025145e-05,0.0001102327020434668,per36min
6.777065642149527e-05,2.691130472742831e-05,per36min
3.0436492747254462e-06,9.733882461571142e-05,per36min
2.0989452457875757e-05,8.559801283491986e-05,per36min
1.762383344183771e-05,2.2561844955193422e-05,per36min
0.00018618698237549136,1.4491223567003608e-05,per36min
9.416209994506097e-06,5.407758937725493e-05,per36min
9.11898894372376e-05,3.4933394290947994e-05,per36min
0.0001507677872304436,8.727124247653872e-05,per36min
1.1390224238905233e-05,9.806454837057998e-08,per36min
0.00017995829860539825,5.57066730777489e-06,per36min
2.859359253870597e-05,3.331910583104225e-06,per36min
0.0002495272097027268,0.0004783161893425758,per36min
5.20976646445348e-05,1.2652576486527067e-07,per36min
7.953992380582697e-05,0.0001772786946618865,per36min
1.580753358543241e-05,2.1564775669613567e-06,per36min
0.00012106323040017575,0.00023316914335835826,per36min
1.0463128152116141e-05,0.00034421041522236795,per36min
0.00037081784871551005,0.00010217561814196419,per36min
2.9535738895303254e-05,1.890627618350571e-06,per36min
3.909998292361827e-06,3.441978993512507e-05,per36min
6.738099838754508e-06,0.0001709844219708323,per36min
4.5242055006333715e-05,1.6298673521930596e-09,per36min
5.420392464317025e-06,4.282996288740293e-06,per36min
1.1716619439106069e-05,2.7675176876074126e-05,per36min
7.434746066126152e-06,8.988953489474927e-05,per36min
0.00021045416601683797,0.00014555757480305687,per36min
1.94737619869656e-05,1.9760148135983258e-05,per36min
2.763697578544999e-05,9.854226391103893e-06,per36min
1.0638245458993723e-05,1.7759139570250326e-05,per36min
4.817800721590437e-06,4.95452988624745e-06,per36min
6.340429867168762e-05,3.250690934653022e-06,per36min
4.370135238129791e-06,3.640276129246445e-05,per36min
2.3634960045870734e-05,1.9041255630347642e-05,per36min
3.85422697779525e-06,2.801512008154816e-06,per36min
0.0001771056602338783,0.00010572458978763688,per36min
8.865156737880575e-05,3.279706506376101e-08,per36min
1.1229359441533582e-05,0.0001901567269182447,per36min
1.459322540264818e-05,0.00021347247654890378,per36min
3.2853796833043347e-06,0.00013880778845798414,per36min
6.407217645854058e-05,9.131947242069227e-05,per36min
0.00017089355372901238,3.870917803150409e-05,per36min
1.4264556765786196e-06,4.680170440241049e-05,per36min
0.00042253461376573487,0.0007283043140873247,per36min
1.7716905551745654e-05,9.368310587165585e-05,per36min
1.1916164978753585e-05,4.059090066510507e-06,per36min
4.6323523495428454e-05,3.589206364007502e-05,per36min
1.5404595430257295e-05,5.4974464440582516e-05,per36min
7.67622349515662e-05,0.00018892440574924674,per36min
