scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
regular,companion_regular,119,298,0.1659548431634903,193
regular,companion_regular,120,298,0.08387096971273422,156
regular,companion_regular,121,298,0.04579460620880127,254
regular,companion_regular,122,298,0.025867683812975883,242
regular,companion_regular,123,298,0.07851240038871765,169
regular,companion_regular,124,298,0.019041769206523895,179
regular,companion_regular,125,298,0.145454540848732,226
regular,companion_regular,126,298,0.0350649356842041,222
regular,companion_regular,127,298,0.05790387839078903,191
regular,companion_regular,128,298,0.11363636702299118,253
regular,companion_regular,129,298,0.0550239235162735,187
regular,companion_regular,130,298,0.04852579906582832,283
regular,companion_regular,131,298,0.05371900647878647,188
regular,companion_regular,132,298,0.08916083723306656,214
regular,companion_regular,133,298,0.06758373230695724,156
regular,companion_regular,134,298,0.0487230159342289,222
regular,companion_regular,135,298,0.07222913950681686,179
regular,companion_regular,136,298,0.09270334988832474,272
regular,companion_regular,137,298,0.03291536122560501,210
regular,companion_regular,138,298,0.034591194242239,216
regular,companion_regular,139,298,0.0325717069208622,197
regular,companion_regular,140,298,0.026569418609142303,205
regular,companion_regular,141,298,0.05864197388291359,252
regular,companion_regular,142,298,0.15314215421676636,229
regular,companion_regular,143,298,0.036724865436553955,204
regular,companion_regular,144,298,0.04516254737973213,200
regular,companion_regular,145,298,0.07155425101518631,220
regular,companion_regular,146,298,0.06329113990068436,254
regular,companion_regular,147,298,0.05384380742907524,184
regular,companion_regular,148,298,0.10330578684806824,246
regular,companion_regular,149,298,0.0047846888191998005,157
regular,companion_regular,150,298,0.032590050250291824,190
regular,companion_regular,151,298,0.0550239235162735,215
regular,companion_regular,152,298,0.12751677632331848,178
regular,companion_regular,153,298,0.04459691420197487,126
regular,companion_regular,154,298,0.12223587185144424,230
regular,companion_regular,155,298,0.15265865623950958,250
regular,companion_regular,156,298,0.08014354109764099,247
regular,companion_regular,157,298,0.135472372174263,257
regular,companion_regular,158,298,0.12987013161182404,114
regular,companion_regular,159,298,0.0730837807059288,213
regular,companion_regular,160,298,0.09270334988832474,155
regular,companion_regular,161,298,0.046032845973968506,250
regular,companion_regular,162,298,0.17290551960468292,212
regular,companion_regular,163,298,0.11587707698345184,236
regular,companion_regular,164,298,0.09953969717025757,243
regular,companion_regular,165,298,0.06827519088983536,266
regular,companion_regular,166,298,0.03460410609841347,203
regular,companion_regular,167,298,0.058974359184503555,206
regular,companion_regular,168,298,0.03113015927374363,198
regular,companion_regular,169,298,0.1187029555439949,255
regular,companion_regular,170,298,0.04363636299967766,225
regular,companion_regular,171,298,0.08353808522224426,228
regular,companion_regular,172,298,0.041322313249111176,181
regular,companion_regular,173,298,0.018793705850839615,226
regular,companion_regular,174,298,0.07063882052898407,172
regular,companion_regular,175,298,0.1237054094672203,234
regular,companion_regular,176,298,-0.0033057851251214743,102
