candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
tm_rest_days,minutes_sqres,0.627725818148305,0.8451365727852371,1.052756158580483,1.6770955218728336
tm_rest_days,fga_absres,0.6120643953990031,0.848054447362025,1.0458581021370237,1.7087386719419149
tm_rest_days,fga_sqres,0.6301609620918479,0.8234068552942838,1.0368711045690033,1.6454067562786858
tm_b2b,pts_absres,0.5927926194003146,0.7997435905726377,0.9954862632289312,1.6793162240042607
tm_b2b,pts_sqres,0.6526370991045485,0.834352780374124,1.0592826559731974,1.623080663705124
tm_b2b,minutes_absres,0.6192435546799725,0.8578238002230218,1.0579812154484385,1.7085058172227685
tm_b2b,minutes_sqres,0.5957689679629647,0.8216432737362822,1.0149080413829281,1.7035261921295952
tm_b2b,fga_absres,0.5759467172083265,0.7850138903801317,0.9736331080816826,1.6904916357557924
tm_b2b,fga_sqres,0.588276775993302,0.7927741389100733,0.9871982579490717,1.6781186989443755
tm_3in4,pts_absres,0.6377570674924616,0.8107935223248749,1.0315620257553888,1.617484271575841
tm_3in4,pts_sqres,0.7499519154611618,0.9122552770053421,1.1809477405575401,1.5746979455760834
tm_3in4,minutes_absres,0.7050848700616642,1.0497562197783086,1.264568224712735,1.7934978871439127
tm_3in4,minutes_sqres,0.6454014263893645,0.9207947319710053,1.1244580648521232,1.7422615117893285
tm_3in4,fga_absres,0.5957725643536772,0.7874995700993894,0.9874717825554711,1.6574643440097447
tm_3in4,fga_sqres,0.5886799951819525,0.7848505211501554,0.9810884146075185,1.6665903761589151
tm_games_prior7d,pts_absres,0.6042779782603775,0.8019041594452279,1.0040927028646343,1.6616404022454387
tm_games_prior7d,pts_sqres,0.6260163099966499,0.7977501971926755,1.014052167051959,1.619849436602356
tm_games_prior7d,minutes_absres,0.6454781109553026,0.8676206262381982,1.0813914845218586,1.6753340913782615
tm_games_prior7d,minutes_sqres,0.6409876714572268,0.8368800693241649,1.0541505800369209,1.6445723170313182
tm_games_prior7d,fga_absres,0.6130258455679851,0.82521568200757,1.0279988371421254,1.676925768422792
tm_games_prior7d,fga_sqres,0.6048945426510197,0.8238045619892194,1.0220329564565107,1.6896051863475805
opp_rest_days,pts_absres,0.5983672897368321,0.8249722129832916,1.019128336188113,1.7031818979214852
opp_rest_days,pts_sqres,0.6293385051537385,0.8538669679020491,1.0607335918803462,1.6854738478479465
opp_rest_days,minutes_absres,0.6740950917997214,0.9341611921770944,1.1519814780447666,1.7089302266971984
opp_rest_days,minutes_sqres,0.6600396896381131,0.9374130133340841,1.1464709108676348,1.736972683409724
opp_rest_days,fga_absres,0.6219113302863365,0.8596532521888408,1.0610265862537902,1.7060737352465971
opp_rest_days,fga_sqres,0.6080853277856864,0.8453994996838571,1.041377971696128,1.7125523740035895
tm_rest_diff,pts_absres,0.5971157202060469,0.8026175348352207,1.0003709764593096,1.6753385359107802
tm_rest_diff,pts_sqres,0.6314634058541867,0.8217086325521309,1.036316124425198,1.6411340939438335
tm_rest_diff,minutes_absres,0.5983886032577543,0.8232391788609597,1.0177385057667971,1.7007986118485765
tm_rest_diff,minutes_sqres,0.6104259167891656,0.8201186805742914,1.0223573006120756,1.6748261705362464
tm_rest_diff,fga_absres,0.6361992108614575,0.8054381095361532,1.0263917303807129,1.6133181444706728
tm_rest_diff,fga_sqres,0.6288995890591794,0.805739686061576,1.022120900291845,1.6252529307912513
tm_roster_churn_prior,pts_absres,0.6123921086109088,0.8013276032766785,1.0085385577468327,1.6468836609186626
tm_roster_churn_prior,pts_sqres,0.6314086561769378,0.8300141058247061,1.0428807731294851,1.6516732276746642
tm_roster_churn_prior,minutes_absres,0.5931497162962718,0.7813342222265283,0.9809738797565822,1.6538385719577695
tm_roster_churn_prior,minutes_sqres,0.5949204834780909,0.7985624585210235,0.9958074019713584,1.6738495809550167
tm_roster_churn_prior,fga_absres,0.5788979243565184,0.7878865459433572,0.9776952572774602,1.6888905904512097
tm_roster_churn_prior,fga_sqres,0.5752531517996786,0.7677210032722981,0.9593287901032097,1.6676636835486274
tm_newfaces_prior,pts_absres,0.6127642283810607,0.8051520463824869,1.0118052269964526,1.6512145783536822
