response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.22044650861023662,-0.006456009189074059,9.273921373423947,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.1690960186750542,0.002180241524748519,0.6976341023141365,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.20372219007612413,0.0236244177818551,0.6976341023141365,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.24814169941072406,0.021239181611413423,0.6976341023141365,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.16978100526453,0.002865228114224371,0.857666624832514,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.19013895898875977,0.010041186694490771,0.857666624832514,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A3_starter_rate_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.23632921169034082,0.009426693891030102,0.857666624832514,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.17318707181471715,0.00627129466441153,52.15563334011569,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.20280054587674057,0.02270277358247149,52.15563334011569,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.2460185381208133,0.019116020321502666,52.15563334011569,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.1742341148238391,0.007318337673533443,55.491605090849866,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.14408974949219366,-0.03600802280207536,55.491605090849866,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.19345218240013984,-0.03345033539917086,55.491605090849866,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.17015656760115938,0.0032407904508536954,-0.05040887119148831,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.1796372417500276,-0.0004605305442414618,-0.05040887119148831,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.22654154989108144,-0.00036096790822920426,-0.05040887119148831,-
